id,imdb_id,title,year,actor1,actor2,actor3,country,director,genre1,genre2,genre3,plot,poster_url,rated,imdb_rating,rotten_tomatoes_rating,metacritic_rating,released,runtime,writer
1,tt0121111,Patarouva,1959,Tuija Halonen,Sinikka Hannula,Kerttu Hämeranta,Finland,Maunu Kurkvaara,Drama,,,"The bachelor Kaius Kannisto think back on the females he has picked up over the years, naming some of them after playing cards. Sia the Queen of diamonds, Pia the Queen of clubs, Eeva the the Queen of hearts, and Elina.",https://m.media-amazon.com/images/M/MV5BZDkzYmFmNWMtNjExNi00YTQ0LWFiNWEtYzJlZjllYjhmMjhiXkEyXkFqcGdeQXVyMTIxMzMzMzE@._V1_SX300.jpg,N/A,4.8/10,,,09 Oct 1959,96 min,"Maunu Kurkvaara, Oiva Paloheimo"
2,tt0122222,Das Rasthaus der grausamen Puppen,1967,Essy Persson,Helga Anders,Erik Schumann,"Italy, West Germany",Rolf Olsen,Crime,Drama,,Rogue couple Betty Williams and Bob Fishman attempt to rob a jewelry store in Glasgow. The plan fails and a policeman is killed.,https://m.media-amazon.com/images/M/MV5BMDM3MTkyZjktNmI3MS00OWExLWI0ZjYtZTgxYTYwYThjYWJhXkEyXkFqcGdeQXVyNjUzNzQ4NDQ@._V1_SX300.jpg,N/A,7.1/10,,,06 Jun 1967,96 min,Rolf Olsen
3,tt0076759,Star Wars: Episode IV - A New Hope,1977,Mark Hamill,Harrison Ford,Carrie Fisher,United States,George Lucas,Action,Adventure,Fantasy,"The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.",https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg,PG,8.6/10,93%,90/100,25 May 1977,121 min,George Lucas
4,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Mark Hamill,Harrison Ford,Carrie Fisher,United States,Irvin Kershner,Action,Adventure,Fantasy,"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.",https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,PG,8.7/10,95%,82/100,18 Jun 1980,124 min,"Leigh Brackett, Lawrence Kasdan, George Lucas"
5,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,Mark Hamill,Harrison Ford,Carrie Fisher,United States,Richard Marquand,Action,Adventure,Fantasy,"Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.",https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG,8.3/10,82%,58/100,25 May 1983,131 min,"Lawrence Kasdan, George Lucas"
6,tt2036416,You Are the Apple of My Eye,2011,Kai Ko,Michelle Chen,Shao-Wen Hao,Taiwan,Giddens Ko,Comedy,Drama,Romance,"A coming-of-age story featuring a group of Taiwanese teenage friends and their experiences as they all fall in love with the same girl: Shen Jiayi, the star student of the school. A story about the complexities and bittersweetness of high-school life set against the backdrop of Taiwanese culture and traditions.",https://m.media-amazon.com/images/M/MV5BMWU2OTAyMTktMTU5MC00MTNhLTg1NzAtOTZjNWFjMDRiZGUxXkEyXkFqcGdeQXVyNDY3MzUxOTI@._V1_SX300.jpg,N/A,7.5/10,,,19 Aug 2011,109 min,Giddens Ko
7,tt4649558,The Radicalization of Jeff Boyd,2017,Uwe Schwarzwalder,Yessi Sanchez,Zarina Tadjibaeva,Switzerland,Uwe Schwarzwalder,Crime,Thriller,,A businessman and a young woman find each other and discuss a dangerous plan which soon becomes reality.,https://m.media-amazon.com/images/M/MV5BYTQ2ZWJlZTUtNWFlZC00YjBhLTlhOWEtNGQ4NDBhNjAzNGI0XkEyXkFqcGdeQXVyMjU3MzQ3NjE@._V1_SX300.jpg,N/A,6.7/10,,,05 Nov 2017,117 min,Uwe Schwarzwalder
8,tt0222012,Hey Ram,2000,Kamal Haasan,Shah Rukh Khan,Rani Mukerji,India,Kamal Haasan,Crime,Drama,History,"The film starts with Saketh Ram as a very old man and almost immediately goes into flashback. As a young man he is among his friends, in conviviality. He has taken a Bengali wife, Aparna, and everything is wonderful in his life, However the year is 1946, and the imminent independence of India from British suzerainty is complicated by religious antagonism between the Hindu majority and the large Muslim minority, who demand their own independent state. Saketh and Aparna visit Calcutta; rioting is reported, but Saketh goes out to get some food, and he soon encounters a Hindu woman being chased by Muslim rioters. He rescues her, but the rioters later come to his house, and brutally rape and then kill his wife. Saketh is devastated and takes to the streets, determined personally to kill as many Muslims as he can find. He meets up with Sriram Abhiyankar, who is leading a group of Hindu extremists, and Saketh becomes temporarily taken with the cause himself. At the same time, he is persuaded to take a new wife, Mythili, and life begins to stabilize for Saketh after all. However he then falls in with an eminent Maharajah who is leading an underground group with the intention of assassination. Travelling with the Maharajah, Saketh meets one of his old friends from younger days, who has fallen on hard times. Reminiscing, and getting his old friend back on his feet deflect the process of recruiting Saketh, but only temporarily, and soon he is manipulated into committing himself to renouncing his family and his new wife, in the interests of the cause which now is disclosed as the assassination of Gandhi. Although a fellow Hindu, Gandhi was felt by some to be too conciliatory to Muslims and in the logic of extremists, Gandhi became the prime target. Soon Saketh is informed that Gandhi will be in Delhi for some weeks, and that Saketh is to take the opportunity to do ""his duty"". However, hiding from a snap search by the police, he has to hide his pistol on a delivery lorry, and it is driven away to a factory owned by Muslims. Going there hoping to retrieve the gun, he becomes engulfed in a shoot-out between some Hindu attackers and the Muslims, and finds that his loyalties are not so clear cut as he had imagined. Finally he escapes after the death of another of his old friends in the crossfire. The next day, January 30th 1948, he contrives to be near Gandhi in a public prayer ground, his appointment with destiny. But the film still has 20 minutes to run, and the ending is not what you expect.",https://m.media-amazon.com/images/M/MV5BYzMxYzZjMDUtZjI3Ni00Y2M2LTllYWItNzJmZTJjMzkyYjlmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_SX300.jpg,Not Rated,7.9/10,,,18 Feb 2000,186 min,"H. Banerjee, Kamal Haasan, Manohar Shyam Joshi"
9,tt1307068,Seeking a Friend for the End of the World,2012,Steve Carell,Keira Knightley,Melanie Lynskey,United States,Lorene Scafaria,Adventure,Comedy,Drama,"An asteroid named ""Matilda"" is on a collision course towards Earth and in three weeks the world will come to an absolute end. What would you do if your life and the world were doomed? One man decides to spend his time searching for his long lost love from high school during the coming catastrophe.",https://m.media-amazon.com/images/M/MV5BMTk4MDQ1NzE3N15BMl5BanBnXkFtZTcwMjA0MDkzNw@@._V1_SX300.jpg,R,6.7/10,55%,59/100,22 Jun 2012,101 min,Lorene Scafaria
10,tt1392170,The Hunger Games,2012,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,United States,Gary Ross,Action,Adventure,Sci-Fi,"In a dystopian future, the totalitarian nation of Panem is divided into 12 districts and the Capitol. Each year two young representatives from each district are selected by lottery to participate in The Hunger Games. Part entertainment, part brutal retribution for a past rebellion, the televised games are broadcast throughout Panem. The 24 participants are forced to eliminate their competitors while the citizens of Panem are required to watch. When 16-year-old Katniss' young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart, Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives.",https://m.media-amazon.com/images/M/MV5BZWI1OWM3ZmEtNjQ2OS00NzI2LTgwNWMtZDAyMGI1OTM2MzJmXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,PG-13,7.2/10,84%,68/100,23 Mar 2012,142 min,"Gary Ross, Suzanne Collins, Billy Ray"
