id,rating,title,body,user_username,movie_imdb_id,created_at,poster
133,2,Disappointing Sequel,The sequel was disappointing compared to the original.,user4,tt0080684,2023-10-16 13:46:19.336843,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
8,3,Not Bad,"The movie was decent but didn’t quite live up to the hype. Some interesting moments, but overall it felt lacking.",user1,tt0076759,2024-08-09 10:32:35.444388,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg
13,3,Not Bad,"The movie was decent but didn’t quite live up to the hype. Some interesting moments, but overall it felt lacking.",user1,tt0076759,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg
137,2,Underwhelming,Underwhelming experience with weak storyline.,user8,tt0222012,2024-04-01 05:03:41.950653,https://m.media-amazon.com/images/M/MV5BYzMxYzZjMDUtZjI3Ni00Y2M2LTllYWItNzJmZTJjMzkyYjlmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_SX300.jpg
9,2,Disappointing,"I was disappointed with this film. The storyline was weak, and the characters were not engaging.",user1,tt0080684,2024-08-09 10:32:35.444388,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
16,3,Good But Forgettable,The film was good but nothing special. It’s one of those movies that you forget about soon after watching.,user2,tt2036416,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BMWU2OTAyMTktMTU5MC00MTNhLTg1NzAtOTZjNWFjMDRiZGUxXkEyXkFqcGdeQXVyNDY3MzUxOTI@._V1_SX300.jpg
17,4,Solid Performance,"A solid performance by the cast. The movie had its moments, and I enjoyed the overall experience.",user2,tt4649558,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BYTQ2ZWJlZTUtNWFlZC00YjBhLTlhOWEtNGQ4NDBhNjAzNGI0XkEyXkFqcGdeQXVyMjU3MzQ3NjE@._V1_SX300.jpg
18,5,Highly Entertaining,Absolutely entertaining from start to finish. The plot twists kept me on the edge of my seat. Great movie!,user2,tt0222012,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BYzMxYzZjMDUtZjI3Ni00Y2M2LTllYWItNzJmZTJjMzkyYjlmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_SX300.jpg
19,2,Mediocre,The movie was mediocre at best. It didn’t have much substance and felt very predictable.,user2,tt1307068,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BMTk4MDQ1NzE3N15BMl5BanBnXkFtZTcwMjA0MDkzNw@@._V1_SX300.jpg
20,3,Entertaining,An entertaining film but with some flaws. It was a decent watch but didn’t quite meet expectations.,user2,tt1392170,2024-08-09 10:33:19.304689,https://m.media-amazon.com/images/M/MV5BZWI1OWM3ZmEtNjQ2OS00NzI2LTgwNWMtZDAyMGI1OTM2MzJmXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg
